history_id,player_id,team_id,season_id,start_date,end_date,contract_type
2640,3104,18,4,2024-10-22,,Standard
2641,3104,18,5,2025-10-21,,Standard
2642,3104,5,5,2025-10-21,,Standard
2643,1293,26,2,2022-10-18,,Standard
2644,1293,26,3,2023-10-24,,Standard
2645,1293,26,4,2024-10-22,,Standard
2646,1293,26,5,2025-10-21,,Standard
2647,1293,6,5,2025-10-21,,Standard
2648,4532,3,4,2024-10-22,,Standard
2649,4532,14,5,2025-10-21,,Standard
2650,3125,18,2,2022-10-18,,Standard
2651,3125,18,3,2023-10-24,,Standard
2652,3125,18,4,2024-10-22,,Standard
2653,3125,2,5,2025-10-21,,Standard
2654,3125,3,5,2025-10-21,,Standard
2655,2214,16,3,2023-10-24,,Standard
2656,2214,16,4,2024-10-22,,Standard
2657,2214,16,5,2025-10-21,,Standard
2658,1129,21,2,2022-10-18,,Standard
2659,1129,21,3,2023-10-24,,Standard
2660,1129,21,4,2024-10-22,,Standard
2661,1129,21,5,2025-10-21,,Standard
2662,1129,17,5,2025-10-21,,Standard
2663,4261,23,3,2023-10-24,,Standard
2664,640,15,5,2025-10-21,,Standard
2665,3802,9,2,2022-10-18,,Standard
2666,3802,9,3,2023-10-24,,Standard
2667,3802,4,4,2024-10-22,,Standard
2668,3802,28,4,2024-10-22,,Standard
2669,1850,28,2,2022-10-18,,Standard
2670,1850,28,3,2023-10-24,,Standard
2671,1850,9,4,2024-10-22,,Standard
2672,1850,2,5,2025-10-21,,Standard
2673,3251,25,3,2023-10-24,,Standard
2674,3251,25,4,2024-10-22,,Standard
2675,3251,25,5,2025-10-21,,Standard
2676,4011,9,3,2023-10-24,,Standard
2677,4011,9,4,2024-10-22,,Standard
2678,4011,9,5,2025-10-21,,Standard
2679,401,9,2,2022-10-18,,Standard
2680,401,9,3,2023-10-24,,Standard
2681,401,21,5,2025-10-21,,Standard
2682,4456,5,2,2022-10-18,,Standard
2683,4456,5,3,2023-10-24,,Standard
2684,4456,5,4,2024-10-22,,Standard
2685,4456,5,5,2025-10-21,,Standard
2686,4456,23,5,2025-10-21,,Standard
2687,5039,12,3,2023-10-24,,Standard
2688,5039,4,4,2024-10-22,,Standard
2689,4553,20,3,2023-10-24,,Standard
2690,4553,20,4,2024-10-22,,Standard
2691,4553,1,4,2024-10-22,,Standard
2692,4553,1,5,2025-10-21,,Standard
2693,2439,20,2,2022-10-18,,Standard
2694,2439,16,5,2025-10-21,,Standard
2695,4787,8,2,2022-10-18,,Standard
2696,4787,8,3,2023-10-24,,Standard
2697,4787,8,4,2024-10-22,,Standard
2698,4787,8,5,2025-10-21,,Standard
2699,2884,1,2,2022-10-18,,Standard
2700,2884,3,4,2024-10-22,,Standard
2701,2884,3,5,2025-10-21,,Standard
2702,2884,23,5,2025-10-21,,Standard
2703,4907,3,2,2022-10-18,,Standard
2704,4907,16,3,2023-10-24,,Standard
2705,4907,9,4,2024-10-22,,Standard
2706,4907,30,5,2025-10-21,,Standard
