full_name,team_name,position,season,avg_pts,avg_reb,avg_ast,per
Derrick Rose,Detroit Pistons,SG,2019-20,15.32,2.05,4.71,22.08
Devin Booker,Phoenix Suns,SG,2019-20,25.52,4.07,6.25,22.07
Brandon Clarke,Memphis Grizzlies,SF,2022-23,9.98,5.54,1.29,22.05
Tobias Harris,Philadelphia 76ers,SF,2020-21,19.21,6.65,3.49,22.04
Daniel Gafford,Washington Wizards,PF,2023-24,10.89,8.02,1.53,22.03
Anthony Edwards,Minnesota Timberwolves,SG,2023-24,25.94,5.44,5.13,22.01
Micah Potter,Utah Jazz,C,2022-23,1.00,0.67,0.17,21.98
Myles Turner,Indiana Pacers,C,2023-24,16.83,6.83,1.28,21.97
Kyrie Irving,Brooklyn Nets,SG,2021-22,27.45,4.38,5.76,21.96
Charles Bassey,San Antonio Spurs,C,2022-23,5.38,5.22,1.30,21.96
Jrue Holiday,Milwaukee Bucks,SG,2022-23,19.25,5.09,7.39,21.95
Charles Bassey,Philadelphia 76ers,C,2021-22,1.08,0.97,0.11,21.94
Julius Randle,New York Knicks,PF,2023-24,22.04,8.46,4.58,21.93
Pascal Siakam,Toronto Raptors,SF,2022-23,24.23,7.83,5.85,21.91
Omer Yurtseven,Miami Heat,C,2021-22,3.83,3.77,0.63,21.90
Pascal Siakam,Toronto Raptors,SF,2021-22,22.81,8.53,5.29,21.90
DeAndre Jordan,Los Angeles Lakers,C,2021-22,2.20,2.87,0.22,21.88
LaMarcus Aldridge,Brooklyn Nets,C,2021-22,11.45,4.87,0.79,21.86
Jarrett Allen,Cleveland Cavaliers,C,2022-23,13.65,9.38,1.59,21.86
LaMelo Ball,Charlotte Hornets,SG,2023-24,22.87,4.91,7.65,21.85
Luka Garza,Minnesota Timberwolves,C,2022-23,3.62,1.26,0.36,21.84
Brandon Ingram,New Orleans Pelicans,SF,2022-23,24.71,5.47,5.82,21.83
Jayson Tatum,Boston Celtics,SG,2019-20,22.42,6.67,2.90,21.82
Jeremiah Martin,Brooklyn Nets,SG,2019-20,4.00,0.63,1.13,21.81
Drew Eubanks,Portland Trail Blazers,PF,2021-22,13.83,8.09,1.52,21.80
Mason Plumlee,Detroit Pistons,PF,2020-21,10.38,9.27,3.61,21.78
Mikal Bridges,Brooklyn Nets,SG,2022-23,26.15,4.48,2.67,21.76
Steven Adams,Memphis Grizzlies,C,2022-23,8.60,11.55,2.31,21.74
Paul George,Los Angeles Clippers,SF,2021-22,23.56,6.66,5.50,21.70
Jaylen Hoard,Oklahoma City Thunder,SF,2021-22,12.88,10.50,2.13,21.70
Karl-Anthony Towns,Minnesota Timberwolves,C,2022-23,20.76,8.14,4.83,21.68
Pascal Siakam,Toronto Raptors,SF,2023-24,21.63,6.15,4.75,21.67
Dwight Howard,Philadelphia 76ers,C,2020-21,6.79,8.17,0.86,21.64
Kenneth Lofton Jr.,Memphis Grizzlies,SF,2022-23,2.55,1.09,0.43,21.64
Mo Bamba,Orlando Magic,C,2020-21,5.40,3.90,0.51,21.63
Michael Porter Jr.,Denver Nuggets,SF,2020-21,19.05,7.30,1.15,21.63
Josh Giddey,Oklahoma City Thunder,SG,2022-23,16.58,7.88,6.17,21.61
Karl-Anthony Towns,Minnesota Timberwolves,C,2023-24,21.76,8.31,3.05,21.58
Kris Dunn,Utah Jazz,SG,2022-23,13.18,4.55,5.64,21.56
Damian Lillard,Milwaukee Bucks,SG,2023-24,23.99,4.32,6.86,21.55
